"pubid","year","interestgov","regvote","didvote"
279,2010,NA,NA,NA
280,2004,3,NA,1
280,2006,NA,NA,NA
280,2008,2,NA,1
280,2010,2,NA,1
281,2004,4,1,0
281,2006,4,1,NA
281,2008,3,NA,1
281,2010,4,1,0
282,2004,1,0,0
282,2006,1,0,0
282,2008,1,0,0
282,2010,1,0,0
283,2004,2,NA,1
283,2006,1,NA,1
283,2008,2,NA,1
283,2010,3,NA,1
284,2004,4,0,0
284,2006,4,1,0
284,2008,3,NA,1
284,2010,3,NA,1
285,2004,2,0,0
285,2006,NA,NA,NA
285,2008,2,NA,1
285,2010,2,NA,1
286,2004,2,NA,1
286,2006,1,NA,1
286,2008,1,NA,1
286,2010,1,NA,1
287,2004,2,1,0
